key,context,english,arabic,french
# ──────────────────────────────────────────────
# COMMON / SHARED
# ──────────────────────────────────────────────
common_cancel,Dialog/button cancel,Cancel,إلغاء,Annuler
common_delete,Dialog/button delete,Delete,حذف,Supprimer
common_save,Button save,Save,حفظ,Enregistrer
common_ok,Dialog confirm,OK,حسناً,OK
common_edit,Button/tooltip edit,Edit,تعديل,Modifier
common_add,Button add,Add,إضافة,Ajouter
common_close,Button close,Close,إغلاق,Fermer
common_back,Button back,Back,رجوع,Retour
common_next,Button next,Next,التالي,Suivant
common_retry,Button retry,Retry,إعادة المحاولة,Réessayer
common_reset,Button reset,Reset,إعادة تعيين,Réinitialiser
common_done,Button done,Done,تم,Terminé
common_confirm,Button confirm,Confirm,تأكيد,Confirmer
common_loading,Loading spinner text,Loading…,جارٍ التحميل…,Chargement…
common_search_hint,Search field hint,Search…,بحث…,Rechercher…
common_none,Dropdown option none,None,لا شيء,Aucun
common_today,Date label,Today,اليوم,Aujourd'hui
common_yesterday,Date label,Yesterday,أمس,Hier
common_got_it,Dismiss button,Got it,فهمت,Compris
common_go_back,Dialog button,Go Back,الرجوع,Retour
common_save_anyway,Dialog button,Save Anyway,حفظ على أي حال,Enregistrer quand même
common_something_went_wrong,Default error message,Something went wrong,حدث خطأ ما,Une erreur est survenue
common_show_details,Expandable toggle,Show details,إظهار التفاصيل,Afficher les détails
common_hide_details,Expandable toggle,Hide details,إخفاء التفاصيل,Masquer les détails
common_remove,Button remove,Remove,إزالة,Supprimer
common_enable,Button enable,Enable,تفعيل,Activer
common_change,Button change,Change,تغيير,Modifier
common_fund,Button fund,Fund,تمويل,Financer
common_no_data,Empty state,No data,لا توجد بيانات,Aucune donnée
# ──────────────────────────────────────────────
# APP / BRANDING
# ──────────────────────────────────────────────
app_name,MaterialApp title / splash / lock,Pocket Plan,Pocket Plan,Pocket Plan
app_tagline,Splash screen tagline,Budget with purpose,ميزانية بهدف,Budgétiser avec intention
app_tagline_about,About screen tagline,"Envelope budgeting, simplified.",ميزانية الأظرف بكل بساطة.,"Budget par enveloppes, simplifié."
app_brand_abbr,Web sidebar logo abbreviation,PP,PP,PP
# ──────────────────────────────────────────────
# NAVIGATION — Bottom tabs
# ──────────────────────────────────────────────
tab_home,Bottom nav tab,Home,الرئيسية,Accueil
tab_activity,Bottom nav tab,Activity,النشاط,Activité
tab_budget,Bottom nav tab,Budget,الميزانية,Budget
tab_reports,Bottom nav tab,Reports,التقارير,Rapports
tab_more,Bottom nav tab,More,المزيد,Plus
nav_press_back_to_exit,Snackbar on double-back,Press back again to exit,اضغط مرة أخرى للخروج,Appuyez à nouveau pour quitter
# ──────────────────────────────────────────────
# NAVIGATION — Web sidebar
# ──────────────────────────────────────────────
nav_dashboard,Web sidebar label,Dashboard,لوحة التحكم,Tableau de bord
nav_transactions,Web sidebar label,Transactions,المعاملات,Transactions
nav_categories,Web sidebar label,Categories,الفئات,Catégories
nav_accounts,Web sidebar label,Accounts,الحسابات,Comptes
nav_envelopes,Web sidebar label,Envelopes,الأظرف,Enveloppes
nav_recurring,Web sidebar label,Recurring,المتكررة,Récurrents
nav_subscriptions,Web sidebar label,Subscriptions,الاشتراكات,Abonnements
nav_reports,Web sidebar label,Reports,التقارير,Rapports
nav_server_status,Web sidebar connection label,Server,الخادم,Serveur
nav_sign_out,Web sidebar button,Sign out,تسجيل الخروج,Déconnexion
# ──────────────────────────────────────────────
# TRANSACTION TYPES
# ──────────────────────────────────────────────
type_income,Transaction type label,Income,دخل,Revenu
type_expense,Transaction type label,Expense,مصروف,Dépense
type_transfer,Transaction type label,Transfer,تحويل,Virement
type_all,Filter chip,All,الكل,Tout
# ──────────────────────────────────────────────
# DASHBOARD
# ──────────────────────────────────────────────
dashboard_welcome_title,First-visit hint banner title,Welcome to PocketPlan!,مرحباً بك في PocketPlan!,Bienvenue sur PocketPlan !
dashboard_welcome_body,First-visit hint banner body,"This is your financial overview. Tap the quick actions below to start recording transactions.",هذه نظرتك المالية العامة. اضغط على الإجراءات السريعة أدناه لبدء تسجيل المعاملات.,Voici votre aperçu financier. Appuyez sur les actions rapides ci-dessous pour commencer à enregistrer des transactions.
dashboard_household_label,Header subtitle,Household,الأسرة,Foyer
dashboard_default_name,Fallback household name,PocketPlan,PocketPlan,PocketPlan
dashboard_customize_tooltip,Customize button tooltip,Customize,تخصيص,Personnaliser
dashboard_search_tooltip,Search button tooltip,Search,بحث,Rechercher
dashboard_error,Error retry message,Couldn't load your data,تعذّر تحميل بياناتك,Impossible de charger vos données
dashboard_quick_expense,Quick action button,Expense,مصروف,Dépense
dashboard_quick_income,Quick action button,Income,دخل,Revenu
dashboard_quick_transfer,Quick action button,Transfer,تحويل,Virement
dashboard_quick_fund,Quick action button,Fund,تمويل,Financer
dashboard_quick_split,Quick action button,Split,تقسيم,Partager
dashboard_section_your_money,Section header,Your Money,أموالك,Votre argent
dashboard_ready_to_assign,Unallocated label,Ready to assign,جاهز للتوزيع,Prêt à affecter
dashboard_money_not_in_envelope,Unallocated subtitle,Money not yet in an envelope,أموال لم تُوزَّع بعد على ظرف,Argent pas encore dans une enveloppe
dashboard_section_activity,Section header,Activity,النشاط,Activité
dashboard_quick_templates,Section title,Quick Templates,قوالب سريعة,Modèles rapides
dashboard_view_all,Link text,View all,عرض الكل,Voir tout
dashboard_recent,Section title,Recent,الأخيرة,Récent
